,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet:elbow,MarkerSet:elbow,MarkerSet:elbow,MarkerSet:forearm,MarkerSet:forearm,MarkerSet:forearm,MarkerSet:humerus,MarkerSet:humerus,MarkerSet:humerus,MarkerSet:index,MarkerSet:index,MarkerSet:index,MarkerSet:radial,MarkerSet:radial,MarkerSet:radial,MarkerSet:shoulder,MarkerSet:shoulder,MarkerSet:shoulder,MarkerSet:sternum 1,MarkerSet:sternum 1,MarkerSet:sternum 1,MarkerSet:sternum 2,MarkerSet:sternum 2,MarkerSet:sternum 2,MarkerSet:thumb,MarkerSet:thumb,MarkerSet:thumb,MarkerSet:ulnar,MarkerSet:ulnar,MarkerSet:ulnar,MarkerSet:wrist,MarkerSet:wrist,MarkerSet:wrist,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3
,ID,"7EC47835DD5A11EA125D068ACBD87AA4","7EC47835DD5A11EA125D068ACBD87AA4","7EC47835DD5A11EA125D068ACBD87AA4","7EC47836DD5A11EA125D068ACBD87AA4","7EC47836DD5A11EA125D068ACBD87AA4","7EC47836DD5A11EA125D068ACBD87AA4","76D9990ADD5A11EA125D068ACBD87AA4","76D9990ADD5A11EA125D068ACBD87AA4","76D9990ADD5A11EA125D068ACBD87AA4","8DB28EB8DD5A11EA125D068ACBD87AA4","8DB28EB8DD5A11EA125D068ACBD87AA4","8DB28EB8DD5A11EA125D068ACBD87AA4","864C7EE4DD5A11EA125D068ACBD87AA4","864C7EE4DD5A11EA125D068ACBD87AA4","864C7EE4DD5A11EA125D068ACBD87AA4","76D99909DD5A11EA125D068ACBD87AA4","76D99909DD5A11EA125D068ACBD87AA4","76D99909DD5A11EA125D068ACBD87AA4","70C13C43DD5A11EA125D068ACBD87AA4","70C13C43DD5A11EA125D068ACBD87AA4","70C13C43DD5A11EA125D068ACBD87AA4","76D99908DD5A11EA125D068ACBD87AA4","76D99908DD5A11EA125D068ACBD87AA4","76D99908DD5A11EA125D068ACBD87AA4","8DB28EB7DD5A11EA125D068ACBD87AA4","8DB28EB7DD5A11EA125D068ACBD87AA4","8DB28EB7DD5A11EA125D068ACBD87AA4","864C7EE5DD5A11EA125D068ACBD87AA4","864C7EE5DD5A11EA125D068ACBD87AA4","864C7EE5DD5A11EA125D068ACBD87AA4","7EC47837DD5A11EA125D068ACBD87AA4","7EC47837DD5A11EA125D068ACBD87AA4","7EC47837DD5A11EA125D068ACBD87AA4","C6750","C6750","C6750","C6890","C6890","C6890","C69C0","C69C0","C69C0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.133333,94.643875,-338.264954,1426.909546,-48.016987,-401.655548,1457.884277,115.449158,-177.934128,1414.810059,-337.105347,-439.628021,1501.675171,-155.154739,-344.511810,1521.571167,134.039597,-11.213923,1443.252808,-103.775337,5.672967,1679.451416,-26.944927,67.045853,1653.774536,-281.433228,-341.609528,1560.499634,-136.299042,-437.118256,1503.176758,-224.111160,-407.109436,1478.076660,-491.928040,-73.158112,1632.180176,-488.438782,-5.793402,1593.947998,-438.890442,-16.224611,1587.522949
17,0.141667,94.636383,-338.259918,1426.894775,-48.018497,-401.678223,1457.937988,115.436714,-177.938324,1414.841064,-337.111359,-439.614563,1501.661011,-155.172791,-344.527344,1521.582275,134.040039,-11.209441,1443.214478,-103.799026,5.700634,1679.452393,-26.951040,67.060532,1653.727661,-281.404083,-341.578369,1560.497559,-136.326630,-437.170563,1503.303711,-224.114197,-407.122559,1478.115845,-491.928864,-73.163734,1632.160156,-488.434296,-5.795559,1593.934692,-438.885284,-16.226631,1587.514771
18,0.150000,94.632339,-338.268036,1426.906128,-48.019253,-401.666229,1457.897339,115.421188,-177.962250,1415.053833,-337.113525,-439.618469,1501.648804,-155.178040,-344.519226,1521.557861,134.030640,-11.206985,1443.201538,-103.800941,5.696450,1679.506348,-26.967087,67.072388,1653.785522,-281.458405,-341.595215,1560.484497,-136.309662,-437.115387,1503.108032,-224.120743,-407.139893,1478.130493,-491.945618,-73.173790,1632.253052,-488.467621,-5.806457,1594.024414,-438.906433,-16.203844,1587.644287
19,0.158333,94.618317,-338.249298,1426.888794,-48.030781,-401.669647,1457.900879,115.407814,-177.956360,1415.026489,-337.100006,-439.608795,1501.609253,-155.143051,-344.524597,1521.479614,134.020096,-11.198399,1443.287964,-103.797920,5.703759,1679.453125,-26.960688,67.075691,1653.755615,-281.457855,-341.607086,1560.466309,-136.341812,-437.192688,1503.348755,-224.127716,-407.150146,1478.138550,-491.928284,-73.148491,1632.184814,-488.432739,-5.790223,1593.941895,-438.882324,-16.220182,1587.531128
20,0.166667,94.607925,-338.257202,1426.931519,-48.039513,-401.666046,1457.917236,115.391022,-177.963898,1415.018433,-337.106018,-439.628723,1501.646729,-155.218018,-344.572937,1521.694092,134.016190,-11.198301,1443.336182,-103.809471,5.731753,1679.401367,-26.957035,67.086723,1653.725708,-281.529388,-341.606293,1560.466553,-136.348022,-437.199524,1503.374268,-224.137405,-407.136566,1478.130493,-491.926208,-73.152718,1632.164429,-488.433197,-5.795438,1593.919556,-438.881714,-16.222242,1587.511719
21,0.175000,94.594299,-338.245392,1426.901733,-48.051548,-401.666962,1457.916504,115.399574,-177.910049,1414.799561,-337.116211,-439.628052,1501.677368,-155.196304,-344.534729,1521.556763,134.007050,-11.188635,1443.343018,-103.810768,5.740613,1679.434814,-26.970665,67.085526,1653.783203,-281.528931,-341.601990,1560.409180,-136.350281,-437.177277,1503.342041,-224.142319,-407.157837,1478.146240,-491.935852,-73.152763,1632.208740,-488.456268,-5.789194,1593.973511,-438.915222,-16.233194,1587.513550
22,0.183333,94.581886,-338.237396,1426.889038,-48.055660,-401.660767,1457.892944,115.381805,-177.942383,1415.064087,-337.136810,-439.632477,1501.693848,-155.187683,-344.533203,1521.489502,134.001404,-11.175247,1443.341064,-103.829147,5.766504,1679.445557,-26.976601,67.110176,1653.793335,-281.542450,-341.606110,1560.459106,-136.379074,-437.176392,1503.281006,-224.151764,-407.147827,1478.122070,-491.961823,-73.155106,1632.277832,-488.460052,-5.797010,1594.035034,-438.900482,-16.208597,1587.665405
23,0.191667,94.565865,-338.228516,1426.890747,-48.073586,-401.666840,1457.899536,115.367012,-177.925446,1415.009888,-337.142822,-439.639374,1501.682251,-155.240921,-344.542328,1521.626343,134.003403,-11.150755,1443.352539,-103.837074,5.787447,1679.361206,-26.988371,67.113762,1653.792725,-281.545074,-341.604095,1560.472900,-136.395691,-437.195404,1503.353882,-224.172043,-407.154846,1478.148926,-491.940857,-73.155418,1632.225708,-488.448914,-5.794888,1593.986328,-438.900604,-16.227753,1587.564209
24,0.200000,94.563911,-338.222717,1426.901245,-48.081726,-401.652802,1457.895874,115.367081,-177.911682,1415.018921,-337.127899,-439.633545,1501.623535,-155.234665,-344.521545,1521.515625,133.998444,-11.149480,1443.313232,-103.842514,5.795540,1679.371582,-27.004019,67.152260,1653.620728,-281.547546,-341.591278,1560.445190,-136.382523,-437.158325,1503.243286,-224.171616,-407.129059,1478.097656,-491.934021,-73.155807,1632.213867,-488.440948,-5.794043,1593.976685,-438.894012,-16.230169,1587.549561
25,0.208333,94.536995,-338.202332,1426.867188,-48.099888,-401.624451,1457.846313,115.356285,-177.907867,1415.045776,-337.155426,-439.652863,1501.704834,-155.263275,-344.550354,1521.729858,133.999741,-11.138008,1443.391479,-103.838280,5.808015,1679.333984,-26.988968,67.131073,1653.786011,-281.562897,-341.600464,1560.476685,-136.434372,-437.221466,1503.453979,-224.188782,-407.123688,1478.111450,-491.938782,-73.160034,1632.218628,-488.463959,-5.782423,1594.007690,-438.926331,-16.229946,1587.527100
26,0.216667,94.529228,-338.189758,1426.863647,-48.124470,-401.626495,1457.921387,115.313469,-177.873779,1414.843140,-337.143219,-439.644958,1501.644653,-155.305450,-344.605682,1521.908203,133.985825,-11.141333,1443.350220,-103.846367,5.804653,1679.341553,-27.003332,67.159592,1653.619507,-281.560791,-341.603088,1560.448608,-136.436157,-437.184509,1503.387451,-224.200714,-407.129791,1478.147705,-491.937958,-73.145897,1632.221558,-488.459534,-5.779807,1593.990845,-438.919434,-16.225115,1587.525635
27,0.225000,94.514671,-338.179840,1426.900513,-48.137501,-401.619598,1457.932129,115.300140,-177.862732,1414.853027,-337.145599,-439.642548,1501.666016,-155.311401,-344.599274,1521.882690,133.979141,-11.128127,1443.325806,-103.841782,5.829830,1679.348633,-26.989037,67.148132,1653.773560,-281.596832,-341.617004,1560.542725,-136.451401,-437.185516,1503.393188,-224.201355,-407.099487,1478.103394,-491.954712,-73.159988,1632.263672,-488.464172,-5.794521,1594.032837,-438.903839,-16.198889,1587.657471
